Id,Input,Prompt,"Rating:
-1: Errors in the generation or in the input
0: Prompt doesn't describe the current step
1: Prompt describes the current step, but some context is missing in the input/output
2: Prompt is a poor description of the current step, and is in accordance with the context
3: Prompt is a good description of the current step, and is in accordance with the context
4: Prompt is a very good description of the current step, and is in accordance with the context","Note (optional)
A: copy problem
B: step has too many actions
C: good prompt DESPITE step with too many actions
D: prompt has hallucinations"
51,"Step 1: In a small saucepan, combine Frozen Spinach and Artichoke Hearts Packed in Water over medium heat, frying for 1 minute.
",a small saucepan with spinach and artichoke hearts in it,3,
49,"Step 1: Into a blender, add White Onion and Green Bell Pepper. Pulse to finely chop.
Step 2: Into a pressure cooker on high, add Olive Oil and chopped veggies. Cook for 10-15 minutes.
",a pressure cooker with chopped vegetables in it,3,
85,"Step 1: Slice the beef into thin strips. Add half of the soy sauce and juice from half a lime to a bowl. Add beef, tossing to coat, and set aside to marinate.
Step 2: In a liquid measuring cup whisk together the beef stock, cane sugar, remaining soy sauce, cornstarch, and remaining lime juice. Set aside. Peel the garlic cloves and ginger and finely chop. Thinly slice the green onions and chili. Transfer to a bowl and set aside. Cut or pull apart the broccoli into small florets.
","A person is chopping up garlic, ginger, green onions, and broccoli on a cutting board",3,C
164,"Step 1: In a pan over medium to high heat add Ground Beef. Break the beef down to small clumps and brown for 3-4 minutes.
",a pan with ground beef in it on the stove,3,C
153,"Step 1: Image of a table with three bowls on it and a spoon in one of the bowls
Step 2: Dust with Unsweetened Cocoa Powder and refrigerate overnight or for a couple of hours. Serve it up for breakfast or as a healthy snack or dessert!
",a bowl of chocolate mousse with a spoon in it,1,D
156,"Step 1: Oatmeal is being cooked in a pot on the stove and a spoon is stirring it
Step 2: Pour in the Almond Milk and stir.
",the person is pouring almond milk into a bowl of oatmeal,4,
10,"Step 1: how to render bacon in a frying pan and set aside? how to render bacon in a frying pan and set aside? how to render bacon in a frying pan and set aside? how to render bacon in a frying pan and set aside? how to render bacon in a frying pan and set aside? how
Step 2: In a saucepan, melt butter, add flour, and stir until flour and butter are fully combined to form a roux. Add milk, stirring occasionally, until fully combined. Season generously with nutmeg, salt, and pepper.
","In a saucepan, melt butter, add flour, and stir until flour and butter are fully combined to form a roux. Add milk, stirring occasionally, until fully combined. Season generously with nutmeg, salt, and pepper.",-1,A
116,"Step 1: A woman is filling a piping bag with macaron mixture and then piping it onto a baking sheet lined with a macaron baking mat
Step 2: Cut butter into pieces. Finely chop chocolate and transfer to a large bowl. Then, heat up Baileys in a small saucepan over medium heat for approx. 1 – 2 min. Add instant espresso and mix until dissolved. Pour warm Baileys into bowl to melt chocolate.  Once chocolate is melted, add butter, piece by piece, to bowl and stir thoroughly until well combined. Fill cream into piping bag.
",A woman is adding butter to a bowl of chocolate and then adding Baileys to the mixture,3,C
37,"Step 1: A person is adding blackberries to a liquid measuring cup and puréeing them until smooth. They then pass the mixture through a fine sieve set over a saucepan before adding sugar and heating the mixture over medium heat. Meanwhile, another person is beating egg whites and some salt in a bowl of a stand mixer until stiff peaks
Step 2: Cut cooled sponge cake into 3 equal strips. Spread each strip with some of the blackberry buttercream. Carefully roll up the first strip, then position the seam of the first roll at the beginning of the next one and keep rolling up. Repeat with the third stripe, then add the cake to a platter. Spread remaining buttercream over the entire cake. Before slicing, let cake rest in the fridge for at least 1 hr. Garnish with fresh blackberries and
",A person is rolling up a sponge cake with blackberry buttercream in a plastic bag,3,D
121,"Step 1: A person is cooking shallots and ginger in a frying pan on top of a stove
Step 2: Add cardamom pod, fennel seeds, cinnamon stick an star anise to a frying pan and fry until fragrant. Add to the pot. Season the broth with fish sauce, salt, and sugar. Let simmer for approx. 30 min.
","A person is adding cardamom pod, fennel seeds, cinnamon stick, and star anise to a frying pan and then adding it to a pot",3,C
64,"Step 1: A woman is cooking spinach and mushrooms in a frying pan with a wooden spoon
Step 2: Spread a layer of tomato sauce on bottom of casserole dish. Add a layer of noodles, then a layer of béchamel sauce, and a layer of vegetables. Top with another layer of noodles and tomato sauce, and repeat pattern until casserole dish is filled. Finish with a layer of béchamel sauce and remaining mushrooms and spinach. Garnish with thyme leaves. Bake for about 30 – 40 minutes at 200°C/400°F, or until sides start to bubble and top turns golden brown. Let cool slightly before slicing and serving.
",A woman is cooking a casserole dish in an oven at 200°C/400°F,3,C
195,"Step 1: the noodles are being boiled in a pot on the stove
Step 2: Divide noodles among serving bowls. Spoon scallion oil over noodles and toss to combine. Reserve the rest of the oil in an airtight container in the fridge for up to 1 week and
",a person is pouring scallion oil over noodles in a bowl,4,
32,"Step 1: mix all ingredients very well and leave to cool in the fridge for 20 minutes
Step 2: In a pan oiled with Vegetable Oil, place 1 to 1 1/2 spoon full of the mix and pat gently to form the rice cake.
","In a pan oiled with Vegetable Oil, place 1 to 1 1/2 spoon full of the mix and pat gently to form the rice cake",-1,A
5,"Step 1: the box of pineapple juice is sitting on a black counter top
Step 2: Blend untill smooth. If it is too liquidy, add the Ice.
",the blender is filled with pineapple juice and ice,4,
54,"Step 1: Slice the Avocado, shred the Green Cabbage. Slice the Lime into wedges.
",a person is slicing an avocado on a cutting board,4,C
102,"Step 1: Add the Frozen Cranberries, Banana, Unsweetened Coconut Flakes, Orange, Vanilla Extract, and Maple Syrup to the jug and blend on Speed 5 for 50 seconds.
","a blender is filled with frozen cranberries, banana, unsweetened coconut flakes, orange, vanilla extract, and maple syrup",4,
20,"Step 1: To make the dashi, add Water to a saucepan, and soak Kombu for 30 minutes. Put saucepan on stove, and bring to a low simmer on medium heat. Once bubbles appear, remove kombu, and bring to a boil.
",A person is adding water to a saucepan and soaking kombu for 30 minutes in it,4,C
52,"Step 1: Pour Large Egg into the mixing bowl and put the larger piece of the egg shell to the side to use later on. Beat the eggs for 5 minutes. Fill Waterwith egg shells and add it into the egg.  Mix then add Salt. Add a portion of All-Purpose Flour and mix well. Using a large deep spoon, scoop up the mixture and pour it back in, to see if you are happy with the result. Now, get your saucepan and place it on the stove top at a medium heat.
","A person is pouring a mixture of eggs, flour, and salt into a saucepan on a stove top",0,
178,"Step 1: Measure Sugar Syrup and Lime Juice, and then add the Pineapple Juice and Coconut Water. Stir until combined.
","a person is stirring a mixture of sugar syrup, lime juice, pineapple juice, and coconut water in a glass container",4,
15,"Step 1: In the clay mortar and pestle, mash the Thai Chili Pepper and Garlic.
Step 2: Shred the Fresh Papaya using a mandoline. Also shred Mango and Carrot.
","a woman is using a mandoline to shred fresh papaya, mango, and carrot",4,
21,"Step 1: the person is using a wooden spoon to fold in the blueberries into the batter
Step 2: Fill the muffin tins with the batter and bake in a preheated oven at 160°C/320°F for approx. 20 – 25 min. until golden. Cool in pan on a baking rack for approx. 10 – 15 min. Enjoy warm or leave to cool completely on a wire rack.
",A person is using a spoon to fill muffin tins with batter and then putting them in a preheated oven at 160°C/320°F to bake for 20-25 minutes until golden,4,
2,"Step 1: someone is adding chocolate chips to a pan on the stove
Step 2: Transfer the chocolate mixture to the pie crust. and put the whole thing in the fridge for about 2 hours.
",the person is putting chocolate mixture into a pie crust and then putting it in the fridge for about 2 hours,4,
108,"Step 1: Trim wooden ends of asparagus and cut into pieces at a light angle (approx. 1 cm pieces). Hull strawberries and quarter.
",a person is trimming the wooden ends of asparagus and cutting it into pieces at a light angle (approximately 1 cm pieces),4,
199,"Step 1: Answer 2 | In the meantime, toast cashews in a frying pan until fragrant. Remove from heat and set aside
Step 2: As soon as the porridge is done, remove from heat, add toasted cashews and honey, and stir to combine.
",a bowl of porridge with toasted cashews and honey in it,4,A
96,"Step 1: a woman is whisking together egg, water, and Tabasco in one bowl while whisking together flour, baking powder, a pinch of salt, and the excess spice rub in another bowl
Step 2: Dip chicken pieces in the egg mixture until well coated on all sides. Lightly shake to remove excess liquid. Then dredge chicken in flour mixture until a thick and even crust is formed. Repeat these steps for a thicker crust if desired.
",A woman is dipping chicken pieces in an egg mixture and then dredging them in flour mixture,4,C
55,"Step 1: In a large bowl place in Cheerios®, Unsalted Peanuts and Raisins. Combine the ingredients and set aside.
Step 2: In a saucepan over medium heat, add Honey, Brown Sugar and Creamy Peanut Butter. Keep stiring for 2-3 minutes but do not let it burn. Turn heat off.
","a saucepan with honey, brown sugar, and creamy peanut butter in it",4,
6,"Step 1: someone is spreading batter onto a baking sheet with a spatula
Step 2: Take cake out of the oven and turn onto a clean kitchen towel. Remove parchment paper and, if necessary, turn cake so that the smooth side faces downwards. Coat cake with chia-raspberry jam. Use kitchen towel to roll up the cake tightly.
",A person is rolling a cake in a towel to coat it with chia-raspberry jam,4,
59,"Step 1: woman stirring ingredients in a bowl with a spoon
Step 2: Transfer breakfast bar mixture to a parchment-lined baking dish and smooth top with a spatula. Place in preheated oven and bake at 130°C/270°F for approx. 45 – 50 min. until golden. Remove from oven and let cool for approx. 10 min.
",A woman is transferring a mixture of ingredients to a parchment-lined baking dish and smoothing the top with a spatula,4,C
151,"Step 1: Top 5 Most Popular Women's Magazines | In a large bowl, mix together Parmesan and breadcrumbs. Season with salt and pepper
Step 2: In a separate large bowl, beat together two eggs until foamy. Using tongs, dip chicken cutlets into the egg mixture and then the breadcrumb mixture. Place on a plate and set aside.
","In a separate large bowl, beat together two eggs until foamy. Using tongs, dip chicken cutlets into the egg mixture and then the breadcrumb mixture. Place on a plate and set aside",-1,A
183,"Step 1: In the image, a person is cooking ground beef in a frying pan with onions and garlic. They also have a saucepan of boiling water with tomato paste in it.
Step 2: Remove the eggplants from the oven and use a fork to make room for the filling where you had sliced it before baking. Fill with the minced meat mixture.
",a person is using a fork to make room for the filling in an oven-baked eggplant,4,
56,"Step 1: In the image, a person is holding a bowl of beef stock in one hand and a bowl of diced vegetables in the other
Step 2: Serve cabbage soup in bowls with a dollop of sour cream, a bay leaf, dill, parsley, and season with more pepper.
","a bowl of cabbage soup with a dollop of sour cream, a bay leaf, dill, parsley, and seasoned with more pepper",4,
