Id,Input,Prompt,"Rating:
-1: Errors in the generation or in the input
0: Prompt doesn't describe the current step
1: Prompt describes the current step, but some context is missing in the input/output
2: Prompt is a poor description of the current step, and is in accordance with the context
3: Prompt is a good description of the current step, and is in accordance with the context
4: Prompt is a very good description of the current step, and is in accordance with the context","Note (optional)
A: copy problem
B: step has too many actions
C: good prompt DESPITE step with too many actions
D: prompt has hallucinations",
53,"Step 1: Set your slow cooker to sauté function, if your slow cooker does not have this function use a pan over medium heat. Season the Boneless Chuck Roast with Kosher Salt, Freshly Ground Black Pepper, Paprika and Ground Cumin. Place in the slow cooker with Olive Oil and sear the outside of the roast for 4-5 minutes per side.
","A person is cooking a boneless chuck roast in a slow cooker with olive oil and seasoning it with kosher salt, freshly ground black pepper, paprika, and ground cumin",4,B,
36,"Step 1: A woman is using a hand mixer to beat eggs, sugar, vanilla extract, milk, olive oil, flour, baking powder, salt, ground hazelnuts, lemon zest, and melted chocolate in a bowl
Step 2: Pour batter into a greased springform pan, arrange sliced pears on top, followed by chopped hazelnuts. Bake at 190°C/375°F for approx. 50 min. Dust with confectioner’s sugar and
",A woman is pouring batter into a greased springform pan that has sliced pears on top and chopped hazelnuts in it,-1,,
69,"Step 1: In the image, a person is stirring a pot of chicken stock with a spoon. They are adding lemongrass and galangal to the chicken stock before adding a tablespoon of tom yum chili paste
Step 2: Add Kaffir Lime Leaf, Cherry Tomato, Oyster Mushroom, and Thai Chili Pepper (if using) to the soup.
","In the image, a person is adding ingredients to a pot of soup, including kaffir lime leaf, cherry tomato, oyster mushroom, and thai chili pepper (if using)",3,,
131,"Step 1: Preheat oven to 180°C/355°F. Add eggs and some of the sugar to the bowl of a stand mixer and beat until creamy. Add yogurt and keep beating. Add baking powder to flour and add the mixture to the stand mixer bit by bit.
",A woman is using a stand mixer to make a cake in an oven,2,,
149,"Step 1: A silver bowl filled with chopped brussels sprouts sits on a table next to a pile of pistachios
Step 2: In a saute pan over medium heat, add the Olive Oil, brussels sprouts, chopped pistachios, Kosher Salt and Ground Black Pepper. Saute until leaves begin to soften but are still bright green, about 2 minutes.
","In a saute pan over medium heat, add the olive oil, brussels sprouts, chopped pistachios, kosher salt, and ground black pepper. Saute until leaves begin to soften but are still bright green, about 2 minutes.",0,A,
151,"Step 1: A woman is cooking a salad in a frying pan, adding cubes of baguette to it
Step 2: Place most of the baguette pieces into a baking dish, reserving some for the top layer. Add the sautéed chard, remaining vegetable broth, reserved baguette pieces, and finish with grated Gruyère cheese. Transfer to the oven, preheated to 200°C/390°F, and bake for 15 – 20 minutes, or until the cheese on top is melted and golden. Serve hot and
",A woman is cooking a salad in a frying pan with cubes of baguette in it,-1,,
180,"Step 1: Preheat the oven to 180°C/ 350°F. Roughly chop couverture. Cut butter into small pieces. Next, melt both together with sugar in the microwave at 600Watt for approx 2 - 3 min.
",A woman is using a microwave to melt butter and sugar together,2,,
105,"Step 1: A person is stirring a pot with a wooden spoon that has vegetables in it
Step 2: Add crushed tomatoes, vegetable stock, and quinoa to the pot. Season with soy sauce, cane sugar, salt and pepper. Bring to a boil and let cook, covered, for approx. 15 – 20 min. During the last 5 min., add black beans, kidney beans, corn, and walnuts to the pot.
","A person is stirring a pot with a wooden spoon that has quinoa, black beans, kidney beans, corn, and walnuts in it",4,B,
22,"Step 1: a person is measuring martini rosso and martini riserva speciale bitter into a glass
Step 2: Garnish with Orange Twist.
",a glass of martini rosso and martini riserva speciale bitter is being garnished with an orange twist,4,,
110,"Step 1: Four pieces of meat are in a frying pan with rosemary and thyme
Step 2: To serve, slice duck breast and halve figs. Arrange on serving plates together with parsnip puree, then drizzle with cassis reduction and sprinkle with thyme.
","A plate of duck breast, figs, parsnip puree, and cassis reduction is being served on a white plate",4,,
50,"Step 1: In the image, there is a bowl of noodles on a kitchen counter. The noodles appear to be cooked and ready to eat.
Step 2: Drain the carrots and chop cucumber, Thai basil, lettuce, and cilantro and set aside. Chop scallions. Heat vegetable oil in a frying pan over medium-high heat and sauté scallions for approx. 2 min.
","A person is chopping vegetables on a cutting board, including carrots, cucumber, Thai basil, lettuce, cilantro, and scallions",3,,
194,"Step 1: Image of aquafaba being mixed in a mixer bowl with a whisk
Step 2: Store the aquafaba in the fridge or freezer for later use. If you are adding it to a recipe with oils or fats, mix in Cream of Tartar Or, if using it to replace whipped cream, add Powdered Confectioners Sugar.
",A woman is adding aquafaba to a mixer bowl with a whisk,2,B,
18,"Step 1: A person is adding cashew cream to a bowl with white balsamic vinegar, coriander, salt, and pepper
Step 2: Add vegan mayonnaise, cinnamon, and chili powder to a small bowl and stir to combine. Refrigerate until serving.
","A person is adding cashew cream to a bowl with white balsamic vinegar, coriander, salt, and pepper",0,A,
171,"Step 1: Thinly slice the leek. Finely chop the chili pepper. Quarter the tomatoes, and dice the pancetta. Set everything aside.
","a person is chopping up a leek, chili pepper, tomatoes, and pancetta on a cutting board",4,,
60,"Step 1: Combine Bell Pepper, Red Onion, Zucchini, Cucumber, Corn, Low-Sodium Black Beans, Jalapeño Pepper and Fresh Cilantro. Toss to combine.
","a bowl of black beans, bell pepper, onion, zucchini, cucumber, corn, and fresh cilantro",4,,
98,"Step 1: In a pan over a low to medium heat, add in some olive oil and lay down the Bacon. Each side should only take 3-4 minutes. It's important to not overcook the bacon so that it remain foldable.
","In a pan over a low to medium heat, add in some olive oil and lay down the bacon. Each side should only take 3-4 minutes. It's important to not overcook the bacon so that it remain foldable.",0,A,
30,"Step 1: Trim off the top end of the zucchini and cut lengthwise into 4 thin slices. Slice the tomato and slice the mozzarella. Slice off the top of one piece of focaccia; this will be the bottom of the sandwich.
",A person is cutting a zucchini into four thin slices and then cutting a tomato and mozzarella cheese into thin slices,3,C,
