Id,Input,Prompt,Rating
54,"Step 1: Slice the Avocado, shred the Green Cabbage. Slice the Lime into wedges.
Step 2: Warm your White Corn Tortilla carefully on the stove top over an open flame to give it some charring on the edges.
","In the image, a person is cooking a white corn tortilla on a stove top over an open flame. They are using a spatula to carefully warm the tortilla on the stove top.",
68,"Step 1: Mix vegetable stock, oil, vinegar, diced onions, and mustard in a mixing bowl and stir to combine. Transfer to a saucepan and simmer on medium heat for approx. 5 min. Pour warm mixture over potato slices, then add diced pickles, chives and toss to coat. Season with salt and pepper and let potato salad sit to marinate.
Step 2: Add potatoes to a large saucepan and fill with cold water until covered. Salt water, then bring to boil and cook for approx. 20 min., or until potatoes are knife tender. Strain potatoes and cool slightly before peeling them. Cut into thin slices and add to large mixing bowl.
Step 3: Add butter to a large frying pan set over medium-high heat. Fry meatloaf on both sides for approx. 3 min., or until browned. Take out of the pan and set aside.
","A person is frying meatloaf in a large frying pan set over medium-high heat. They are using a spatula to flip the meatloaf on both sides for about 3 minutes until it is browned. After flipping the meatloaf, they take it out of the pan and set it aside.",
120,"Step 1: Heat oil in a large frying pan and sauté sliced asparagus for approx. 4 – 5 min. on medium heat. Add sugar and season with salt and pepper. Deglaze with some of the orange juice. Take from heat and add sliced radishes.
Step 2: Toast pine nuts in a small frying pan for approx. 3 – 4 min. on medium-low heat until browned.
Step 3: Prepare vinaigrette by stirring olive oil, mustard, lemon juice, and remaining orange juice together. Season with salt and pepper.
",A woman is stirring a bowl of vinaigrette with a spoon,
182,"Step 1: Stem the swiss chard and roughly chop leaves and stem. Halve the olives and set aside. Reserve any liquid from the jar. Thinly slice the onions.
Step 2: In a heavy-bottomed pot with a lid set over medium-high heat, add some olive oil. Season the lamb shoulder on all sides, then sear it until brown on all sides. Add onions and Swiss chard stems to the pot and sauté until soft. Add harissa and stir to combine. Deglaze with olive liquid.
","In a heavy-bottomed pot with a lid set over medium-high heat, add some olive oil. Season the lamb shoulder on all sides, then sear it until brown on all sides. Add onions and Swiss chard stems to the pot and sauté until soft. Add harissa and stir to combine. Deglaze with olive",
45,"Step 1: Fill a highball glass with Ice. Add Dewar’s White Label.
",a highball glass filled with ice and dewar's white label is sitting on a bar,
55,"Step 1: Peel and finely dice onions. Cut chives into small rings and dice pickles. Set aside.
",A woman is cutting onions on a cutting board with a knife,
17,"Step 1: Top with more Vegan Caramel Sauce.
Step 2: Transfer to a tall glass and top with the chilled coconut cream.
Step 3: Serve with a straw and
",a glass of orange juice with a straw in it sits on a table,
166,"Step 1: Roll out the second half of the dough, and place on top of the pie. Fold in the edges and gently press to seal. Now take a fork to prick the top of the pie. Whisk egg yolk, then brush across the pie. Bake for approx. 40 min. at 200°C/390°F. Cool down, and
Step 2: Roll out the first half of the dough, and place in the pie plate, leaving a 1.5-cm/0.5-in. rim. Add the strawberry mixture. Chop the remaining butter and distribute across the strawberries.
Step 3: Want to share your recipe with our awesome community? Each week, we'll be choosing your best recipes to test cook, photograph, and publish on Kitchen Stories for the world to see! Simply email us at community@kitchenstories.io and send us your recipe.
",Image of a person holding a bowl of soup with a spoon in it,
51,"Step 1: As the shrimp cooks (remember to keep stirring) you’ll notice the color will go to a bright sort of orange color. You can place a lid on the pot for about a minute or two if you’d like. After 3 minutes you can add the Lemon Juice. The shrimp will also let out its own juices, so there’s no need for any other liquid. Try not to overcook the shrimp or you’ll risk them going rubbery.
Step 2: Heat a pan on medium-high heat (no oil necessary as we’ll be sort of scalding the shrimp), then add the Shrimp and give it a good stir. Now add the garlic, habanero, Salt and Paprika and stir well to coat everything.
Step 3: Within 7 minutes or so your shrimp should be done. Top with the Italian Flat-Leaf Parsley, give it a final stir, and get ready to serve.
","In the image, a person is cooking shrimp in a pan on a stove. They are using a spoon to stir the shrimp in the pan.",
172,"Step 1: Remove dosa batter from fridge and stir. Heat clarified butter in a frying pan set over medium-low heat. Add one ladle of batter to the frying pan and tilt the frying pan so that you have an even layer of batter. Fry until golden brown on both sides, and repeat the process until you have used up all the batter.
Step 2: Peel and finely dice onions. Heat clarified butter in a frying pan set over medium-high heat and sauté onions. Add cooked potatoes, sweet potatoes, and peas and stir to combine. Add Indian tikka masala sauce and remaining lime juice and let simmer for approx. 10 – 12 min.
Step 3: Fill dosa with potato filling and carefully roll up. Serve with the mint-yogurt sauce.
",A person is filling a dosa with potato filling and carefully rolling it up. They then serve it with a mint-yogurt sauce.,
