Id,Input,Prompt,Rating
52,"Step 1: Spread Chocolate Hazelnut Spread on 8 of the Digestive Biscuit and top with the other remaining 8 biscuits.
Step 2: Soak each biscuit sandwich in the Milk. Don’t put too many biscuits at the same time in the milk because they will break down.
Step 3: Once they've softened, pass them through the Unsweetened Shredded Coconut and set them aside on a separate plate.
",a person is using a spoon to scoop up some coconut shredded from a can of coconut milk,
106,"Step 1: In a medium bowl mix together Aquafaba, Dijon Mustard, Salt, White Wine Vinegar, Granulated Sugar, and Lemon Juice until combined. Use either a whisk or hand mixer.
Step 2: In a consistent stream, slowly pour in the Sunflower Oil a little bit at a time while still whisking or mixing, until mixture is thick and creamy. If the mixture looks too thin, add more oil and continue to mix.
","In a consistent stream, slowly pour in the Sunflower Oil a little bit at a time while still whisking or mixing, until mixture is thick and creamy. If the mixture looks too thin, add more oil and continue to mix",
13,"Step 1: Drain Vegan Kimchi in a colander or sieve, reserving the liquid. If necessary, chop the kimchi.
Step 2: Heat the Neutral Oil in a large skillet over medium-high heat. Add the green and white part of the Scallion and cook, stirring frequently, for two to three minutes, or until tender. Add the Broccoli, season with Soy Sauce, and cook, stirring occasionally, for two to three minutes, until the bok choy is bright green and tender.
Step 3: Add the kimchi and cook for another minute, or until heated through.
",the kimchi is being cooked in a pan on the stove,
137,"Step 1: Mix the Mayonnaise, Tabasco® Chipotle Pepper Sauce and Pineapple Salsa together and set aside. In a hot pan with a little oil, warm the Pork.
",a pan with pork in it being cooked on a stove top,
122,"Step 1: In the image, a person is rolling out dough on a flour-covered work surface. They are using a cookie cutter to cut out round shapes and a small cookie cutter to cut out a hole in the center of half of the large cookie rounds. The person then brushes the round shapes with jam and places doughnut shapes on top
Step 2: Meanwhile, combine confectioner’s sugar and lemon juice in a small bowl.
Step 3: Add chocolate to a small saucepan and melt over low heat.
",a person is adding chocolate to a small saucepan and melting it over low heat,
118,"Step 1: A woman is cooking beef in a pan with ginger, salt, and pepper added to it
Step 2: Bring a pot of water to boil and add udon noodles. Stir gently and let cook approx. 2 min., then drain.
Step 3: Add udon noodles and soy sauce to the pan with beef and spinach and cook, tossing constantly (and gently), until noodles are coated in a thick sauce. Serve immediately topped with sliced scallions and sesame seeds.
",A woman is cooking udon noodles in a pan with beef and spinach,
179,"Step 1: Place your Green Bell Pepper, Red Bell Pepper and Onion into a 2.5 quart dish that is microwave safe and has a cover.
","a green bell pepper, a red bell pepper, and an onion in a dish that is microwave safe and has a cover",
183,"Step 1: Add rice to pot, cover with water, and cook for approx. 12 – 15 min. Meanwhile, cut red cabbage into fine strips. Peel, halve, and julienne carrots. Slice green onions into thin rings.
Step 2: Trim extra fat from beef sirloin, pat dry with paper towels, and cut into strips.
","a person is trimming extra fat from beef sirloin, pat dry with paper towels, and cut into strips",
67,"Step 1: In a bowl, mix together the Cornmeal,  All-Purpose Flour, Caster Sugar, Baking Powder, and Salt. Add Yellow Onion and stir to combine.
Step 2: In a jug, whisk Milk and Large Egg together. Add milk mixture to the flour mixture and mix until the combination is nearly combined, then stir in the Butter.
",a person is whisking milk and large eggs in a jug,
173,"Step 1: Wash and peel white asparagus, cut the end and reserve for later. Separate the stalks and leaves of chervil and tarragon, finely chop the leaves and reserve stalks. Peel and roughly chop the shallots. Juice the lemon.
Step 2: To make Béarnaise sauce, add white wine, reserved chervil and tarragon stalks, shallots, black peppercorns, bay leaf, and half the lemon juice to a saucepan.  Let cook until reduced by half, approx. 10 min.
Step 3: Remove the saucepan from heat and strain the liquid into a bowl through a fine sieve. Melt butter in a saucepan. Next, set up a double boiler and add egg yolk and mustard to the bowl with the liquid, set over simmering water, and whisk until foamy. Pour in the melted butter and continue whisking. Stir in chopped herb leaves.
",A person is stirring a bowl of liquid with a whisk in a double boiler,
157,"Step 1: Chop the Bitter Melon Leaves. Cut the Heirloom Tomato into wedges. In a large bowl, combine heirloom tomatoes with desired amount of Red Wine Vinaigrette, Salt, Ground Black Pepper, and Fresh Purple Basil.
Step 2: Toss to combine. Add Spring Mix Greens and bittermelon leaves, then toss again.
",the woman is tossing salad with a wooden spoon,
